year,collect_location,travel_miles_class,travel_alone,cost_cover,classification,education,age,gender,A_dollars_accept,B_wtp_workshop,topic1_before,topic1_after,topic2_before,topic2_after,topic3_before,topic3_after,topic4_before,topic4_after,overall_after,cattle_handling_be,cattle_handling_af,bull_exam_be,bull_exam_af,vaccine_be,vaccine_af,heifer_be,heifer_af,breeding_be,breeding_af,testing_be,testing_af,marketing_be,marketing_af,class_improve_reality,class_influence_future
2019,small_town,55,self,.,Been Farming less than 10 years,Some Technical College,45-54 yrs,Female,.,.,2,3,1,2,1,2,1,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,1,self,.,Interested in Farming Someday,Bachelor Degree,45-54 yrs,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,20,self,.,Been Farming for more than 10 years,Bachelor Degree,55-64 yrs,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,47,self,.,Been Farming for more than 10 years,.,35-44 yrs,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,20,1 other,.,Interested in Farming Someday,Bachelor Degree,45-54 yrs,Male,.,.,3,5,2,4,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2019,small_town,20,1 other,.,Interested in Farming Someday,Some Technical College,45-54 yrs,Female,.,.,5,5,5,5,5,5,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,187,2 other,.,Interested in Farming Someday,High School,20-24 yrs,Male,.,.,1,3,2,3,1,3,1,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,No change/ Undecided
2019,small_town,187,.,.,Interested in Farming Someday,Some Technical College,20-24 yrs,Other,.,.,1,3,1,2,1,2,1,3,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2019,small_town,20,1 other,.,Interested in Farming Someday,Bachelor Degree,25-34 yrs,Female,.,25,1,3,1,4,1,4,1,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,12,self,.,Interested in Farming Someday,Bachelor Degree,45-54 yrs,Female,.,5,2,4,1,3,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,1,2 other,.,Been Farming less than 10 years,Bachelor Degree,>= 65 yrs,Female,.,25,4,.,4,.,4,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,187,2 other,.,Interested in Farming Someday,Some Technical College,45-54 yrs,Female,.,40,1,3,1,3,1,3,1,3,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,20,self,.,Interested in Farming Someday,Some Technical College,>= 65 yrs,Male,125,.,2,3,2,4,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,70,1 other,.,Interested in Farming Someday,.,< 20 yrs,Female,.,.,1,3,1,2,1,2,1,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,70,1 other,.,Interested in Farming Someday,Some Technical College,45-54 yrs,Female,.,.,1,4,2,3,1,2,1,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,48,1 other,.,Been Farming less than 10 years,Some Technical College,55-64 yrs,Female,100,50,1,3,1,3,1,3,.,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,48,1 other,.,Been Farming less than 10 years,Graduate Degree,55-64 yrs,Male,250,.,2,3,2,3,1,3,.,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,5,self,.,Been Farming for more than 10 years,Associates Degree,45-54 yrs,Male,500,50,2,3,1,3,1,3,3,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,20,1 other,.,Interested in Farming Someday,Bachelor Degree,45-54 yrs,Female,500,.,2,3,2,4,2,5,1,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,11,self,.,Been Farming for more than 10 years,Bachelor Degree,55-64 yrs,Male,50,20,2,4,2,4,1,4,2,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,40,self,.,Been Farming less than 10 years,Graduate Degree,55-64 yrs,Female,50,50,1,4,2,3,.,.,1,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,30,self,.,Been Farming less than 10 years,Associates Degree,35-44 yrs,Female,250,35,4,5,3,4,2,3,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,19,self,.,"Other, Home Beed Grower",.,55-64 yrs,Male,500,25,1,4,5,5,1,3,3,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2019,small_town,27,self,.,Interested in Farming Someday,Associates Degree,25-34 yrs,Male,500,20,4,5,4,5,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,6,self,.,Been Farming less than 10 years,High School,55-64 yrs,Male,100,.,3,4,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,100,self,.,Been Farming for more than 10 years,Bachelor Degree,>= 65 yrs,Male,100,35,3,4,4,4,3,4,2,3,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2019,small_town,6,self,.,Been Farming less than 10 years,Graduate Degree,55-64 yrs,Female,25,20,.,.,2,4,1,5,1,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2019,small_town,45,self,.,Been Farming for more than 10 years,Graduate Degree,45-54 yrs,Male,25,10,1,5,5,5,1,3,.,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Convinced me not to farm
2019,small_town,30,1 other,.,Been Farming for more than 10 years,Bachelor Degree,35-44 yrs,Female,125,25,2,3,.,.,.,.,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,No change/ Undecided
2019,small_town,25,self,.,Interested in Farming Someday,Associates Degree,45-54 yrs,Male,250,50,1,3,1,3,1,3,1,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,.
2020,small_town,20,self,.,Been Farming for more than 10 years,Bachelor Degree,>= 65 yrs,Female,.,.,1,3,1,2,1,2,1,3,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2020,small_town,.,.,.,.,.,.,.,125,30,.,.,1,3,1,3,1,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2020,small_town,76,self,.,Interested in Farming Someday,Bachelor Degree,25-34 yrs,Female,250,40,3,4,2,3,3,4,2,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2020,small_town,30,1 other,.,Interested in Farming Someday,Associates Degree,55-64 yrs,Female,100,.,3,4,1,4,1,4,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,No change/ Undecided
2020,small_town,38,1 other,.,Been Farming less than 10 years,Some Technical College,35-44 yrs,Male,250,25,2,3,3,4,1,2,2,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2020,small_town,4,self,.,"Other, Ability to assist garderners/ farmers",Graduate Degree,55-64 yrs,Female,100,15,2,3,1,3,1,3,1,3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,No change/ Undecided
2020,small_town,58,1 other,.,Been Farming less than 10 years,Graduate Degree,55-64 yrs,Male,500,50,1,3,1,3,1,3,2,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2020,small_town,71,1 other,.,Interested in Farming Someday,Bachelor Degree,35-44 yrs,Male,250,10,.,.,3,5,2,5,2,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2020,small_town,60,1 other,.,Interested in Farming Someday,Bachelor Degree,35-44 yrs,Female,100,25,1,3,4,4,1,3,1,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2020,small_town,30,self,.,Interested in Farming Someday,Some Technical College,>= 65 yrs,Male,500,50,4,4,4,4,5,5,4,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Definitely like to start some day
2020,small_town,.,.,.,.,.,.,.,50,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2020,small_town,125,self,.,Been Farming less than 10 years,Associates Degree,35-44 yrs,Male,500,150,4,4,4,4,2,4,3,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Solidified current commitment to farming
2020,small_town,30,1 other,.,Interested in Farming Someday,Graduate Degree,20-24 yrs,Female,500,35,3,4,5,5,3,4,5,5,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
2020,small_town,69,self,.,Interested in Farming Someday,Some Technical College,55-64 yrs,Female,250,25,4,5,4,5,4,5,3,4,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Solidified current commitment to farming
2020,small_town,26,self,.,Been Farming less than 10 years,Associates Degree,25-34 yrs,Male,500,10,4,4,4,4,4,4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Probably,Solidified current commitment to farming
2020,small_town,25,self,.,Interested in Farming Someday,Bachelor Degree,35-44 yrs,Female,500,35,2,4,2,4,2,4,2,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Solidified current commitment to farming
2020,small_town,58,1 other,.,Been Farming less than 10 years,High School,55-64 yrs,Female,500,50,2,3,2,3,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Definitely,Definitely like to start some day
